,text
39,"IPC No equivalent section in the IPC. changes to BNSClause 109(3): Whoever, conspires or organises the commission of an organised crime, or assists, facilitates or otherwise engages in any act preparatory to an organised crime, shall be punishable with imprisonment for a term  which shall not be less than five years but which may extend to imprisonment for life and shall also be liable to fine which shall not be less than rupees five lakhs.The Implication of revision is This clause deals with conspiracies, organising the commission of an organised crime, assisting and facilitating organised crime or engaging in preparatory acts. The terms used are wide and vague. For instance, the ambit of preparatory acts may be very wide, thus bringing within the section people who may not even have the relevant intention or knowledge that they are engaging in an act preparatory to an organised crime. From a penological perspective, the clause provides the same punishment for conspiracy and abetment, as it does for membership,
thus equating these offences."
40,"IPC No equivalent section in the IPC. changes to BNSClause 109(4): Any person  who is a member of an organised crime syndicate shall be punishable with imprisonment for a term  which shall not be less than five years but which may extend to imprisonment for life and shall also be liable to fine which shall not be less than rupees five lakhs.The Implication of revision is This section is taken from the MCOCA. The punishment is also the same.
Jurisprudence from MCOCA will apply."
41,"IPC No equivalent section in the IPC. changes to BNSClause 109(5): Whoever, intentionally harbours or conceals or attempts to harbour or conceal any person who has committed the offence of an organised crime or any member of an organised crime syndicate or believes that his act will encourage or assist the doing of such crime shall be punishable with imprisonment for a term which shall not be less than three years but which may extend to imprisonment for life and shall also be liable to fine which shall not be less than rupees five lakhs: Provided that this sub-section shall not apply to any case in which the harbour or concealment is by the spouse
of the offender.The Implication of revision is This section is taken from MCOCA. The proviso is from UAPA. The jurisprudence from these legislations will apply."
42,"IPC No equivalent section in the IPC. changes to BNSClause 109(6): Whoever, holds any property derived, or obtained from the commission of an organised crime or proceeds of any organised crime or which has been acquired through the organised crime syndicate funds shall be punishable with imprisonment for a term which shall not be less than three years but which may extend to imprisonment for life and shall also be liable to fine which shall not be less than
rupees two lakhs.The Implication of revision is This section is taken from MCOCA, save for the term proceeds of any organised crime, which has been defined in the explanation. The proviso is from UAPA. The jurisprudence from these legislations will apply."
43,"IPC No equivalent section in the IPC. changes to BNSClause 109(7): If any person on behalf of a member of an organised crime syndicate is, or at anytime has been in possession of movable or immovable property which he cannot satisfactorily account for, shall be punishable with imprisonment for a term which shall not be less than three years but which may
extend to imprisonment for tenThe Implication of revision is This section is taken from MCOCA. The proviso is from UAPA. The jurisprudence from these legislations will apply."
44,"IPC No equivalent section in the IPC. changes to BNSClause 109: Explanation. For the purposes of this section, proceeds of any organised crime means all kind of properties which have been derived or obtained from commission of any organised crime or have acquired through funds traceable to any organised crime and shall include cash, irrespective of person in whose name such proceeds are standing or in whose possession they are
found.The Implication of revision is This provides a broad definition to the term proceeds of an organized crime, and can thus be overinclusive. Currently, there is debate and criticism of similar provisions in the Prevention of Money Laundering Act, which have not been taken into consideration while drafting this clause of the BNS."
45,"IPC No equivalent section in the IPC. changes to BNSClause 110. (1) Any crime that causes general feelings of insecurity among citizens relating to theft of vehicle or theft from vehicle, domestic and business theft, trick theft, cargo crime, theft (attempt to theft, theft of personal property), organised pick pocketing, snatching, theft through shoplifting or card skimming and Automated Teller Machine thefts or procuring money in unlawful manner in public transport system or illegal selling of tickets and selling of public examination question papers and such other common forms of organised crime committed by organised criminal groups or gangs, shall constitute petty organised crimes and shall
include the said crimes whenThe Implication of revision is This provision has vague and broad terms such as general feelings of insecurity among citizens. It also consists of terms such as mobile organised crime groups. This may lead to criminalisation of individuals/groups who are nomadic, which is was the rationale behind the repealed Criminal Tribes Act."
46,"IPC No equivalent section in the IPC. changes to BNS(2) Whoever commits or attempts to commit any petty organised crime, under sub- section (1) shall be punished with imprisonment for a term which shall not be less than one year but which may extend to seven years, and
shall also be liable to fine.The Implication of revision is This is the penal section for Clause
110(1). Like in Clause 109(2) the punishment for attempting the crime, and for committing the crime, is identical."
47,"IPC No equivalent section in the IPC. changes to BNSClause 111(1): A person is said to have committed a terrorist act if he commits any act in India or in any foreign country with the intention to threaten the unity, integrity and security of India, to intimidate the general public or a segment thereof, or to disturb
public order by doing an act,The Implication of revision is A large part of Clause 111(1) is taken from Section 15 of the Unlawful Activities (Prevention) Act, 1967. The jurisprudence that has emerged in the context of Section 15 of the UAPA will apply."
48,"IPC No corresponding provision in the IPC. changes to BNSClause 111(2): Whoever, attempts to commit or commits an offence of terrorist act shall,(i) if such offence has resulted in the death of any person, be punishable with death or imprisonment for life without the benefit of parole, and shall also be liable to fine which shall not be less than rupees ten lakhs;(ii) in any other case, be punishable with imprisonment for a term which shall not be less than five years but which may extend to imprisonment for life, and shall also be liable to fine which shall not be less
than rupees five lakhs.The Implication of revision is A large part of Clause 111(2) is taken from Section 16 of the Unlawful Activities (Prevention) Act, 1967.
However, in 111 (2) (i), life imprisonment has been specifically enhanced to exclude parole. Additionally fine amounts have been mentioned in the section which is absent in the UAPA. The punishment under this provision is more stringent than corresponding provisions of the UAPA."
49,"IPC No corresponding provision in the IPC. changes to BNSClause 111 (3): Whoever, conspires, organises or causes to be organised any organisation, association or a group of persons for terrorist acts, or assists, facilitates or otherwise conspires to engage in any act preparatory to any terrorist act, shall be punishable with imprisonment for a term which shall not be less than five years but which may extend to imprisonment for life, and shall also be liable to fine which shall not be less
than rupees five lakhs.The Implication of revision is Clause 111(3) is taken from Section 18 of the Unlawful Activities (Prevention) Act, 1967. However, punishment under this provision specifically mentions a fine amount which is absent in the UAPA."
50,"IPC No corresponding provision in the IPC changes to BNSClause 111(4): Any person, who is a member of terrorist organisation, which is involved in terrorist act, shall be punishable with imprisonment for a term which may extend to imprisonment for life, and shall also be liable to fine which shall
not be less than rupees five lakhs.The Implication of revision is Clause 111(4) is taken from Section 20 of the Unlawful Activities (Prevention) Act, 1967. However, punishment under this provision specifically mentions a fine amount which is absent in the UAPA."
51,"IPC No corresponding provision in the IPC. changes to BNSClause 111 (5) Whoever, intentionally harbours or conceals or attempts to harbour or conceal any person who has committed an offence of any terrorist act shall be punishable with imprisonment for a term which shall not be less than three years but which may extend to imprisonment for life, and shall also be liable to fine which shall not be less than rupees five lakh: Provided that this sub-section shall not apply to any case in which the harbour or concealment is by the spouse
of the offender.The Implication of revision is Clause 111(5) is largely taken from Section 19 of the Unlawful Activities (Prevention) Act, 1967. However, punishment under this provision specifically mentions a fine amount which is absent in the UAPA. This section brings in an element of intention in the context of harbouring/concealing a person who has committed a terrorist act. This is different from the UAPA which requires knowledge that the person being harboured is a terrorist. Doing away  with this requirement may have the impact of broadening the section as compared to section 19 of the UAPA."
52,"IPC No corresponding provision in the IPC. changes to BNSClause 111 (6): Whoever, holds any property directly or indirectly, derived or obtained from commission of terrorist act or proceeds of terrorism, or acquired through the terrorist fund, or possesses, provides, collects or uses property or funds or makes available property, funds or financial service or other related services, by any means, to be used, in full or in part to carry out or facilitate the commission of any terrorist act, shall be punishable with imprisonment for a term which may extend to imprisonment for life and shall also be liable to fine which shall not be less than rupees five lakhs and such property shall also be liable for
attachment and forfeiture.The Implication of revision is The first part of Clause 111 (6) is borrowed from Sec. 21 of the Unlawful Activities (Prevention) Act, 1967. This provision broadens the scope for criminalisation of acts beyond those of Sec. 21 of the UAPA."
53,"IPC No corresponding provision in the IPC. Explanation a-(i) has been taken from Sec. 4 of the Philippines Anti-Terrorism Act, 2020. changes to BNSExplanation. For the purposes of this section,(a) terrorist refers to any person who(i) develops, manufactures, possesses, acquires, transports, supplies or uses weapons, explosives,The Implication of revision is This is an extremely vague and over- broad definition, particularly as there is no jurisprudence around this that can be used by courts."
54,"IPC The following kinds of hurt only are designated as grievous: First.Emasculation.
Secondly.Permanent privation of the sight of either eye.
Thirdly.Permanent privation of the hearing of either ear Fourthly.Privation of any member or joint.
Fifthly.Destruction or permanent impairing of the powers of any member or joint. Sixthly.Permanent disfiguration of the head or face. Seventhly.Fracture or dislocation of a bone or tooth.
Eighthly.Any hurt which endangers life or which causes the sufferer to be during the space of twenty days in severe bodily pain, or unable to follow his
ordinary pursuits. changes to BNSClause 114: The following kinds of hurt only are designated as grievous, namely:(a) Emasculation.(b) Permanent privation of the sight of either eye.(c) Permanent privation of the hearing of either ear.(d) Privation of any member or joint.(e) Destruction or permanent impairing of the powers of any member or joint.(f) Permanent disfiguration of the head or face.(g) Fracture or dislocation of a bone or tooth.(h) Any hurt which endangers life or which causes the sufferer to be during the space of fifteen days in severe bodily pain, or unable to follow his ordinary
pursuits.The Implication of revision is Section 320 rightly provided that a hurt would be considered grievous if the victim were unable to follow their pursuits or in severe bodily pain for twenty days. Twenty days (two thirds of a month) has been changed to fifteen days in the BNS. The logic for reduction from twenty days to fifteen days is not clear."
55,"IPC No corresponding provision in the IPC changes to BNSClause 115 (3) Whoever commits an offence under sub- section (1) and in the course of such commission causes any hurt to a person which causes that person to be in permanent disability or in persistent vegetative state, shall be punished with rigorous imprisonment for a term which shall not be less than ten years but which may extend to imprisonment for life, which shall mean imprisonment for the remainder of that persons
natural life.The Implication of revision is This provision introduces an aggravated form of the offence of grievous hurt, with an increased mandatory minimum sentence of ten years. This would have been punishable previously with a maximum sentence of seven years."
56,"IPC No corresponding provision in the IPC changes to BNSClause115 (4) When grievous hurt of a person is caused by a group of five or more persons on the ground of his, race, caste, sex, place of birth, language, personal belief or any other ground, each member of such group shall be guilty of the offence of causing grievous hurt, and shall be
punished with imprisonmentThe Implication of revision is This clause appears to criminalise participation in the offence wherein grievous hurt is caused by a group on the grounds of race, caste, sex, etc. It is not clear whether there is a requirement of common intention, or the group needs to share a common object. This vagueness may cause confusion."
57,"IPC Section 326A: Whoever causes permanent or partial damage or deformity to, or burns or maims or disfigures or disables, any part or parts of the body of a person or causes grievous hurt by throwing acid on or by administering acid to that person, or by using any other means with the intention of causing or with the knowledge that he is likely to cause such injury or hurt, shall be punished with imprisonment of either description for a term which shall not be less than ten years but which may extend to imprisonment for life, and with fine: Section 326B - Explanation 2: For the purposes of section 326A and this section, permanent or partial damage or deformity shall not be required to be irreversible. changes to BNSClause 122(1): Whoever causes permanent or partial damage or deformity to, or burns or maims or disfigures or disables, any part or parts of the body of a person or causes grievous hurt by throwing acid on or by administering acid to that person, or by using any other means with the intention of causing or with the knowledge that he is likely to cause such injury or hurt or causes a person to be in a permanent vegetative state shall be punished with imprisonment of either description for a term which shall not be less than ten years but which may extend to imprisonment for life, and with fine:Explanation 2: For the purposes of this section, permanent or partial damage or deformity or permanent vegetative state, shall not be
required to be irreversible.The Implication of revision is In Explanation 2, the inclusion of permanent vegetative state absurd because the condition is permanent by definition and therefore, irreversible."
58,"IPC Section 361: Whoever takes or entices any minor under 2 [sixteen] years of age if a male, or under 3 [eighteen] years of age if a female, or any person of unsound mind, out of the keeping of the lawful guardian of such minor or person of unsound mind, without the consent of such guardian, is said to kidnap such minor or person from lawful guardianship. changes to BNSClause 135: 1) Kidnapping is of two kinds: kidnapping from India, and kidnapping from lawful guardianship (b) whoever takes or entices any child below the age of eighteen years or any person with mental illness, out of the keeping of the lawful guardian of such child or person with mental illness, without the consent of such guardian, is said to kidnap such child or person from lawful
guardianship.The Implication of revision is The difference in age between boys and girls has been now removed. Thus, kidnapping of boys between 16 to 18 years of age from lawful guardianship is now criminalised under this provision."
59,"IPC Section 363A(1): Whoever kidnaps any minor or, not being the lawful guardian of a minor, obtains the custody of the minor, in order that such minor may be employed or used for the purposes of begging shall be punishable with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine. changes to BNSClause 137(1): Whoever kidnaps any child below the age of eighteen years or, not being the lawful guardian of such child, obtains the custody of the child, in order that such child may be employed or used for the purposes of begging shall be punishable with rigorous imprisonment for a term which shall not be less than ten years but which may extend to imprisonment for life, and shall also be liable
to fine.The Implication of revision is The term minor used in the section has been replaced with child below the age of 18 years and child. The terms of punishment have been significantly increased, with the introduction of mandatory minimum sentences."
60,"IPC Section 363A(2): Whoever maims any minor in order that such minor may be employed or used for the purposes of begging shall be punishable with imprisonment for life, and shall also be liable to fine. changes to BNSClause 137(2): Whoever maims any child below the age of eighteen years in order that such child may be employed or used for the purposes of begging shall be punishable with imprisonment which shall not be less than twenty years, but which may extend to life which shall mean imprisonment for the
remainder of that persons
natural life, and with fine.The Implication of revision is Same as above."
61,"IPC Section 363A(3): Where any person, not being the lawful guardian of a minor, employs or uses such minor for the purposes of begging, it shall be presumed, unless the contrary is proved, that he kidnapped or otherwise obtained the custody of that minor in order that the minor might be employed or used for the purposes of begging. changes to BNSClause 137(3): Where any person, not being the lawful guardian of a child below the age of eighteen years employs or uses such child for the purposes of begging, it shall be presumed, unless the contrary is proved, that he kidnapped or otherwise obtained the custody of such child in order that such child might be employed or used for the
purposes of begging.The Implication of revision is Same as above."
62,"IPC Section 363A(4): In this section,
(a) begging means (i) soliciting or receiving alms in a public place, whether under the pretence of singing, dancing, fortunetelling, performing tricks or selling articles or otherwise; (ii) entering on any private premises for the purpose of soliciting or receiving alms; (iii) exposing or exhibiting, with the object of obtaining or extorting alms, any sore, wound, injury, deformity or disease, whether of himself or of any other person or of an animal;
(iv) using a minor as an exhibit for the purpose of soliciting or receiving alms; (b) minor means (i) in the case of a male, a person under sixteen years of age; and (ii) in the case of a female, a person under eighteen
years of age.] changes to BNSClause 137(4): In this section begging means(i) soliciting or receiving alms in a public place, whether under the pretence ofsinging, dancing, fortune-telling, performing tricks or selling articles or otherwise;(ii) entering on any private premises for the purpose of soliciting or receiving alms;(iii) exposing or exhibiting, with the object of obtaining or extorting alms, any sore, wound, injury, deformity or disease, whether of himself or of any other person or of an animal;(iv) using such child as an exhibit for the purpose of soliciting or receiving alms.The Implication of revision is Same as above."
63,"IPC Whoever within or without [India] conspires to commit any of the offences punishable by section 121, or conspires to overawe, by means of criminal force or the show of criminal force, [the Central Government or any [State] Government], shall be punished with [imprisonment for life], or with imprisonment of either description which may extend to ten years, [and shall also be liable to fine]. changes to BNSClause 146: Whoever within or without and beyond India conspires to commit any of the offences punishable by section 145, or conspires to overawe, by means of criminal force or the show of criminal force, the Central Government or any State Government, shall be punished with imprisonment for life, or with imprisonment of either description which may extend to ten years, and
shall also be liable to fine.The Implication of revision is Section 121A of the IPC used the phrase within or without India. This covered acts committed in India and outside India. The word beyond has now been added. It does not appear to make any difference and is hence, superfluous."
64,"IPC Section 124A: Whoever by words, either spoken or written, signs, or by visible representation, or otherwise, brings or attempts to bring into hatred or contempt, or excites or attempts to excite disaffection towards, the Government established by law  in India, shall be punished with imprisonment for life, to which fine may be added, or with imprisonment which may extend to three years, to which fine may be added, or with fine.Explanation 1.The expression disaffection includes disloyalty and all feelings of enmity.Explanation 2. Comments expressing disapprobation of the measures of the Government with a view to obtain their alteration by lawful means, without exciting or attempting to excite hatred, contempt or disaffection, do not constitute an offence under this section.Explanation 3. Comments expressing disapprobation of the administrative or other action of the Government without exciting or attempting to excite hatred, contempt or disaffection, do not constitute an offence under this
section. changes to BNSClause 150: Whoever, purposely or knowingly, by words, either spoken or written, or by signs, or by visible representation, or by electronic communication or by use of financial mean, or otherwise, excites or attempts to excite, secession or armed rebellion or subversive activities, or encourages feelings of separatist activities or endangers sovereignty or unity and integrity of India; or indulges in or commits any such act shall be punished with imprisonment for life or with imprisonment which may extend to seven years and shall also be liable to fine.Explanation -- Comments expressing disapprobation of the measures, or administrative or other action of the Government with a  view to obtain their alteration by lawful means without exciting or attempting to excite the activities referred to in this section.The Implication of revision is Although the word sedition has been removed, the new clause has wider connotations regarding acts which can now be criminalised under this provision. The use of vague phrases such as exciting secessionist activities and feelings could potentially criminalise activities which do not have any overt act. Further, the use of the word purposely introduces an ambiguous standard of mental state. The jurisprudence on sedition had limited the extent of the provision to words which lead to immediate violence. This leads to further expansion of the scope of the provision. Moreover, the explanation appears to be incomplete. However, if read as it is, it can further broaden the ambit of the section."
65,"IPC Section 131: Whoever abets the committing of mutiny by an officer, soldier, sailor or airman, in the Army, Navy or Air Force of the Government of India or attempts to seduce any such officer, soldier, sailor or airman from his allegiance or his duty, shall be punished with imprisonment for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.
Explanation.In this section the changes to BNSClause 157: Whoever abets the committing of mutiny by an officer, soldier, sailor or airman, in the Army, Navy or Air Force subject to the Acts referred to in section 165 of the Government of India or attempts to seduce any such officer, soldier, sailor or airman from his allegiance or his duty, shall be punished with imprisonment for life, or with imprisonment of either description for a term whichThe Implication of revision is The addition made to this section reads subject to Acts referred to in section 165 of the Government of India. This is evidently erroneous, and possibly refers to Clause 165 of the BNS, and not to the Government of India."
66,"IPC No corresponding provision in the IPC changes to BNSClause 195. (1) Whoever, by words either spoken or written or by signs or by visible representations or through electronic communication or otherwise, ...(d) makes or publishes false or misleading information jeopardising the sovereignty unity and integrity
or security of India,The Implication of revision is The provision is overbroad in content and implication. It is not only criminalising publishing false/misleading information, but also making the same, which means that even speaking of certain words could be criminalised."
67,"IPC No corresponding provision in the IPC changes to BNSClause 224: Whoever attempts to commit suicide with the intent to compel or restrain any public servant from discharging his official duty shall be punished with simple imprisonment for a term which may extend to one year or with fine or with both or with community service.The Implication of revision is Section 115 of the Mental Healthcare Act, 2017 stated that any person attempting to die by suicide will be presumed to be suffering from extreme stress. They will not be prosecuted and punished under section 309 of the IPC. With section 309 no longer included in the BNS, Clause 224 draws out an exception wherein a person who attempts to die by suicide with the intent to compel or restraining a public servant from discharging their official duty shall be punished. This could include hunger strikes and other protests where death is a possible
consequence."
68,"IPC No corresponding provision in the IPC. The same text has been used in the Haryana State Amendment (2015) to section 379 and Punjab State Amendment (2014) to section 379. changes to BNSClause 302. (1) Theft is snatching if, in order to commit theft, the offender suddenly or quickly or forcibly seizes or secures or grabs or takes away from any person or from his possession any moveable property.
(2) Whoever commits snatching, shall be punished with imprisonment of either description for a term which may extend to three years, and
shall also be liable to fine.The Implication of revision is It remains unclear as to what distinguishes this offence from theft simpliciter, especially since the punishment is the same. Particularly, the phrase takes away makes it very similar to the offence of theft as defined in the previous provision."
69,"IPC Section 380: Whoever commits theft in any building, tent or vessel, which building, tent or vessel is used as a human dwelling, or used for the custody of property, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine. changes to BNSClause 303: Whoever commits theft
(a) in any building, tent or vessel used as a human dwelling or used for the custody of property; or
(b) of any means of transport used for the transport of goods or passengers; or
(c) of any article or goods from any means of transport used for the transport of goods or passengers; or
(d) of idol or icon in any place of worship; or
(e) of any property of the
Government or of a local authority,The Implication of revision is This clause provides for enhanced punishment for offences of theft committed in vehicles, from vehicles, theft of idols or icons from places of worship, or any property of the government or a local authority."
70,"IPC Section 401: Whoever, at any time after the passing of this Act, shall belong to any wandering or other gang of persons associated for the purpose of habitually committing theft or robbery, and not being a gang of thugs or dacoits, shall be punished with rigorous imprisonment for a term which may extend to seven years, and
shall also be liable to fine. changes to BNSClause 311: Whoever belongs to any gang of persons associated in habitually committing theft or robbery, and not being a gang of dacoits, shall be punished with rigorous imprisonment for a term which may extend to seven years, and shall also be liable to fine.The Implication of revision is The removal of the word wandering from this provision is a positive change, as it no longer implicates persons belonging to nomadic castes and communities who would otherwise be targeted and criminalised thereunder."
71,"IPC No equivalent section. changes to BNSClause 322 (3) Whoever commits mischief and thereby causes loss or damage to any property including the property of Government or Local Authority shall be punished with imprisonment of either description for a term which may extend to one year,
or with fine, or with both.The Implication of revision is The offence of mischief under the IPC had graded punishments depending on the value of the property damaged/destroyed, as well as the nature of the property damaged/destroyed. This new section specifically adds property belonging to the Government or Local Authority, and punishes the act with a maximum of one
year."
72,"IPC Sec. 427 IPC-Mischief causing damage to the amount of fifty rupees.Whoever commits mischief and
thereby causes loss or damage to the amount of fifty rupees or upwards, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine,
or with both. changes to BNSClause 322 (4) Whoever commits mischief and thereby causes loss or damage to the amount of twenty thousand rupees and more but less than one lakh rupees shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with
both.The Implication of revision is Continuing with the gradation of punishment depending on the value of damage, the BNS increases the value from Rs. 50 in the IPC to a minimum of Rs. 20,000, and up to Rs. 100,000 and provides a maximum sentence of two years."
73,"IPC No equivalent section. changes to BNSClause 322 (5) Whoever commits mischief and thereby causes loss or damage to the amount of one lakh rupees or upwards, shall be punished with imprisonment of either description for a term which may extend to five years, or
with fine, or with both.The Implication of revision is Continuing with the gradation of punishment depending on the value of damage, this newly introduced clause provides a maximum sentence of imprisonment of five years for damaging property worth over Rs. 1 lakh."
74,"IPC Sec. 428 IPC- Mischief by killing or maiming animal of the value of ten rupees.Whoever commitsmischief by killing, poisoning, maiming or rendering useless any animal or animals of the value of the tenrupees or upwards, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.
429. Mischief by killing or maiming cattle, etc., of any value or any animal of the value of fiftyrupees.Whoever commits mischief by killing, poisoning, maiming or rendering useless, changes to BNSClause 323: Whoever commits mischief by killing, poisoning, maiming or rendering useless any animal shall be punished with imprisonment of either description for a term which may extend to five years, or with fine, or with both.The Implication of revision is This section criminalises killing, poisoning, maiming or rendering useless any animal, thus possibly criminalising the killing of animals for any reason. The IPCs logic was to criminalise the killing of animals which were of value to someone, possibly covering domesticated animals killed by a third person without the consent of the owner of the animal. Clause 323, by removing the value of the animal, appears to criminalise the killing of any animal, domesticated or otherwise. In light other legislations such as the Prevention of Cruelty to Animals Act, 1960, the Wildlife Protection Act, 1972, etc., this section should have ideally been repealed."
75,"IPC Sec. 433 IPC. Mischief by destroying, moving or rendering less useful a light-house or sea- mark.
Whoever commits mischief by destroying or moving any light- house or other light used as a sea- mark, or any sea-mark or buoy or other thing placed as a guide for navigators, or by any act which renders any
such light-house, sea-mark, buoy or other such thing as aforesaid less useful as a guide for navigators,
shall be punished with imprisonment of either description for a term which may extend to seven years, or with
fine, or with both. changes to BNSClause 324: Whoever commits mischief by...(d) destroying or moving any sign or signal used for navigation of rail, aircraft or ship or other thing placed as a guide for navigators, or by any act which renders any such sign or signal less useful as a guide for navigators, shall be punished with imprisonment of either description for a term which may extend to seven years, or with fine, or with both;The Implication of revision is The section expands the scope of navigation devices originally in the IPC, which were confined to devices used in maritime navigation to include devices used for navigation in railways and in airways. Destroying a railway signal will now be covered under this section."
76,"IPC 437. Mischief with intent to destroy or make unsafe a decked vessel or one of twenty tons burden.Whoever commits mischief to any decked vessel or any vessel of a burden of twenty tons or upwards, intending to destroy or render unsafe, or knowing it to be likely that he will thereby destroy or render unsafe, that vessel, shall be punished with imprisonment of either description for a term which may extend to ten years,
and shall also be liable to fine. changes to BNSClause 325: (1) Whoever commits mischief to any rail, aircraft, or a decked vessel or any vessel of a burden of twenty tons or upwards, intending to destroy or render unsafe, or knowing it to be likely that he will thereby destroy or render unsafe, that rail, aircraft or vessel, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.The Implication of revision is Section 437 of the IPC only covered decked vessels (ships). The section now covers railway vessels, and aircrafts."
77,"IPC 466. Forgery of record of Court or of public register, etc.[Whoever forges a document or an electronic record], purporting to be arecord or proceeding of or in changes to BNSClause 335: Whoever forges a document or an electronic record, purporting to be a record or proceeding of or in a Court or an identity documentThe Implication of revision is This clause now includes forging cards issued by the Government including an Aadhar card or voter identity card."
78,"IPC No equivalent provision in the IPC. changes to BNSClause 339 (3): Whoever possesses any seal, plate or other instrument knowing the same to be counterfeit, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable
to fine.The Implication of revision is This clause criminalises possession of seals, plates and other instrument knowing them to be counterfeit. This fills a possible void in the IPC."
79,"IPC No equivalent provision in the IPC. changes to BNSClause 339 (4): Whoever fraudulently or dishonestly uses as genuine any seal, plate or other instrument knowing or having reason to believe the same to be counterfeit, shall be punished in the same manner as if he had made or counterfeited such seal, plate
or other instrument.The Implication of revision is Continuing from the previous clause, this clause criminalises the use as genuine of a seal, plate or other instrument knowing them to be counterfeit. This fills a possible void in the IPC."
